# game_data/ Source File Manifest
# Generated: 2026-03-13 14:00:55
# Total: 223 files, 11.77 GB
#
# These are the original, non-derived source files needed to recreate the
# game_data/ directory. They are NOT committed to git due to size and copyright.
# Derived files (extracted/, data_tracks/) are produced by the scripts.
#
# Format: SHA256  SIZE  PATH

## CD images
b6bdcfc8c5bf6c92e86b3ea65d0e5c32f964047a611209828301074020f37a9e      94759728  CD images\Descent - Anniversary Edition (Brazil) (Covermount)\Descent - Anniversary Edition (Brazil) (Covermount).bin
d3e94cfcf1602f355d787e585851351c94c93f41a8a52d85c394c06a20fc82e8           140  CD images\Descent - Anniversary Edition (Brazil) (Covermount)\Descent - Anniversary Edition (Brazil) (Covermount).cue
daaef498fd455b9cddeb2b8c1dc7c60d090195635f6ca590fdcf7eb12c2e77a0      94054128  CD images\Descent - Anniversary Edition (USA)\Descent - Anniversary Edition (USA).bin
15e0351d72b9917ff12983092b8b21f3fee40ffe2ca2d19d186c70bb39911cdc           101  CD images\Descent - Anniversary Edition (USA)\Descent - Anniversary Edition (USA).cue
5435fca3797b0d404160d12e686f82667d2d4e4d4b4e8fcd1209b61abc8b26fd      24296160  CD images\Descent - Destination Saturn (USA)\Descent - Destination Saturn (USA).bin
4c34304bf7c0dca9f5462f184a4c23ee8bdf9388f7d70454ed6dcfb8c035a8eb           123  CD images\Descent - Destination Saturn (USA)\Descent - Destination Saturn (USA).cue
ef1ec392730c0e92139811d32a3bbf95ae7b9069a33ece89a3ab949d9b19f8cd      62161008  CD images\Descent - Levels of the World (USA)\Descent - Levels of the World (USA).bin
a0857fc62ef1444e454eadaa60863702d830a2baf09944b3f31b2fc7ffc68740           101  CD images\Descent - Levels of the World (USA)\Descent - Levels of the World (USA).cue
38393a12630bbdfdd2e2efac138da463c242586a42c889b91054fabf6ba7b925     718912320  CD images\Descent - Mac macplay\Descent - Mac macplay.bin
b8127c0ce27a4573b596c5cfb78af0f0e7ce58e1dbe130e1424f3ede09d4446d          1125  CD images\Descent - Mac macplay\Descent - Mac macplay.cue
e4bac85d0fdd33e14e89720353ab306a935c7b7400a63a3e85fce2ac8cb46078       4334736  CD images\Descent - Test Flight (USA)\Descent - Test Flight (USA).bin
80c652a5a45e22894da2b57f040102253fc1fd951ab54c0bd4ca7ec59773e46e           116  CD images\Descent - Test Flight (USA)\Descent - Test Flight (USA).cue
acd92b2dd9b9ce772740e96bbdaaff8e59de99ec10ada83a2a99aa18aa2e566c      20210736  CD images\Descent (Europe) (Alt)\Descent (Europe) (Alt).bin
b41dcae3713fb80dbcbaee7ff050d31581b43d28c0ecd096bda76e58666a5926           111  CD images\Descent (Europe) (Alt)\Descent (Europe) (Alt).cue
967a1bf5ec32d655767169f25a140488257599fae58ebbe870667e4b1f409d82      19857936  CD images\Descent (Europe)\Descent (Europe).bin
c28d5de67da9c76015e4de3118bc222398fde8a0a1187468c02a52a25a7c4fd8           105  CD images\Descent (Europe)\Descent (Europe).cue
a433ed3712493649fb59c1361daf70d4a1776c706ff9a653e08c2ea93f0eab62      19505136  CD images\Descent (USA)\Descent (USA).bin
144f9ad71b60060ce1a02844026a8549da47505a86ba32a994e944f1d9381259           102  CD images\Descent (USA)\Descent (USA).cue
1b99d11a970a6216ade271ff4d2ae878dc381e770ffd1467d610aa2fb01c0746           334  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 1)\data_tracks\demos\swiv\layout.bin
c8c4a05642f438298e13f7da870ba54c8367450325a6e9c9ca7be2cf247663df     217113120  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 1)\Descent I and II - The Definitive Collection (Europe) (Disc 1).bin
186d05fce68be69db2170632502ed4f3072339ba8bfa562e66af6d1ff07554b0           151  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 1)\Descent I and II - The Definitive Collection (Europe) (Disc 1).cue
a47ba66a0db2be6f5b99ae41b79233fb230dc17e94e6d3cf73065f1a382c61fb     431464992  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 1).bin
6ff05de0e0b29947da58355802950246501c514bf541eeede4dfe40b40a965be       8114400  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 2).bin
28cff75ec49554ddb7860fea4e4971f02dcded1c32a0ef1706beef6a359cd060      53096400  CD images\Descent I and II - The Definitive Collection (Europe) (Disc 2)\Descent I and II - The Definitive Collection (Europe) (Disc 2) (Track 3).bin
