# game_data_index.txt -- SHA-256 hash index of local game data files
# Generated by generate_game_data_index.ps1 -- do not edit manually
# Format: <sha256>  <relative-path-from-repo-root>

811fc58caa3e2a72cdfa07d7530b2bb0ca71836a6a2d8a3cb401e4284949c233  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/ALIEN1.PIG
75ef8fa0cba03410c61ad1b58f57dcb1481f1f302985828aab0af90639926055  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/ALIEN2.PIG
5233242206c677d65db7f075dd61f2b0a1b7bbe8cd65f56d769efaee1cc38b4d  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/DESCENT2.HAM
f1abf516512739c97b43e2e93611a2398fc9f8bc7a014095ebc2b6b2fd21b703  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/DESCENT2.HOG
4f10632dd4efcbffe532c35b6763edd22817135442bbcc4171381706f3893728  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/DESCENT2.S22
26a5a5f4e91456abf31f79578d0922e7bc3348b6aa92489a84033de83f358156  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/FIRE.PIG
facdde6cf8a2cab99ea39ba06931872a1fe5636fe211e61fb58c57d706bf627b  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/GROUPA.PIG
ae6152ef69502b00e51a98d8f04b21f2855a332cd2988ecceb3b909a49fa26a1  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/ICE.PIG
de88ead87dcb32f16936b3e2a08b81a2248440f29e6f8be0c4c3a5f9fe4b63c1  game_data/CD images/Descent I and II - The Definitive Collection (Europe) (Disc 2)/data_tracks/d2data/WATER.PIG
aa8ba1df48cddb118aaf3950318930fe3c19f63d3c7af31df0e06c797d0bcc2d  game_data/mission_files/drmsaga.zip
c2aa754df2462376cd77b7afb75125c0096ba04f870fcff4d41182995762848f  game_data/mission_files/KCXF2RMv11.7z
b134ffc1df360d3a760f4390e95ed2bb6736146827e400131846e7765b2e8418  game_data/mission_files/Lunar Series Revamped.zip
441c970b8ebab45f9544c00cd44843f1fce7cda649ee402ef6e4e407f94ef5ce  game_data/mission_files/Obsidian.zip
469e7f6700ae32509edfcbab8bceed94e6af152b479428e2966d9dcc7de4a186  game_data/mission_files/plutonia.zip
d0a6ab2122fcb5e8ef580cb50e6b9c6d44b086799718a99f1553a9e07cba9323  game_data/mission_files/trine2.zip
55e3bdd20eb339322413db68c6cc04c610dcda32a5484ea036c058d55fe3f895  game_data/mods/d2x-xl/d2-hires-128-textures-ktx2.dxa
91a66ee07304116b2a3e45dc5ec3b8fe6892f6568202407c5f032c90c4b2cccd  game_data/mods/d2x-xl/d2-hires-256-textures-ktx2.dxa
497bdc14023334c86cf2439e0704da56e4d06ac4442c4fe7911eb678344ddb4e  game_data/mods/d2x-xl/d2-hires-512-textures-ktx2.dxa
8a46ac26e8442a75ba1807692d44ea1b280bd3bd5b3f52e01c553a2c7892df4d  game_data/mods/d2x-xl/d2-hires-sounds.dxa
83d76ff0c46bb2e7348a49bdd287ad764abeda0d851bfb16b42c1ede93b21052  game_data/CD images/Descent - Anniversary Edition (Brazil) (Covermount)/data_tracks/descent/descent.hog
093f9cc029200e9d71d5e14f2f06e5e876a658dd64dc664d6911c5d24d7b64fe  game_data/CD images/Descent - Anniversary Edition (Brazil) (Covermount)/data_tracks/descent/descent.pig
